Nothocercus bonapartei
Tinamus major
Crypturellus soui
Crypturellus cinnamomeus
Crypturellus boucardi
Crypturellus kerriae
Dendrocygna viduata
Dendrocygna autumnalis
Dendrocygna arborea
Dendrocygna bicolor
Anser fabalis
Anser serrirostris
Anser brachyrhynchus
Anser albifrons
Anser erythropus
Anser anser
Chen canagica
Chen caerulescens
Chen rossii
Branta bernicla
Branta leucopsis
Branta hutchinsii
Branta canadensis
Branta sandvicensis
Cygnus olor
Cygnus buccinator
Cygnus columbianus
Cygnus cygnus
Sarkidiornis melanotos
Neochen jubata
Cairina moschata
Aix sponsa
Anas strepera
Anas falcata
Anas penelope
Anas americana
Anas rubripes
Anas platyrhynchos
Anas fulvigula
Anas wyvilliana
Anas laysanensis
Anas zonorhyncha
Anas discors
Anas cyanoptera
Anas clypeata
Anas bahamensis
Anas acuta
Anas querquedula
Anas formosa
Anas crecca
Aythya valisineria
Aythya americana
Aythya ferina
Aythya collaris
Aythya fuligula
Aythya marila
Aythya affinis
Polysticta stelleri
Somateria fischeri
Somateria spectabilis
Somateria mollissima
Histrionicus histrionicus
Camptorhynchus labradorius
Melanitta perspicillata
Melanitta fusca
Melanitta americana
Clangula hyemalis
Bucephala albeola
Bucephala clangula
Bucephala islandica
Mergellus albellus
Lophodytes cucullatus
Mergus merganser
Mergus serrator
Nomonyx dominicus
Oxyura jamaicensis
Ortalis vetula
Ortalis cinereiceps
Ortalis ruficauda
Ortalis wagleri
Ortalis poliocephala
Ortalis leucogastra
Penelope purpurascens
Chamaepetes unicolor
Penelopina nigra
Oreophasis derbianus
Crax rubra
Numida meleagris
Dendrortyx barbatus
Dendrortyx macroura
Dendrortyx leucophrys
Oreortyx pictus
Callipepla squamata
Callipepla douglasii
Callipepla californica
Callipepla gambelii
Philortyx fasciatus
Colinus virginianus
Colinus nigrogularis
Colinus cristatus
Odontophorus gujanensis
Odontophorus melanotis
Odontophorus dialeucos
Odontophorus leucolaemus
Odontophorus guttatus
Dactylortyx thoracicus
Cyrtonyx montezumae
Cyrtonyx ocellatus
Rhynchortyx cinctus
Alectoris chukar
Francolinus pondicerianus
Francolinus francolinus
Francolinus erckelii
Tetraogallus himalayensis
Perdix perdix
Coturnix japonica
Gallus gallus
Lophura leucomelanos
Phasianus colchicus
Pavo cristatus
Bonasa umbellus
Centrocercus urophasianus
Centrocercus minimus
Falcipennis canadensis
Lagopus lagopus
Lagopus muta
Lagopus leucura
Dendragapus obscurus
Dendragapus fuliginosus
Tympanuchus phasianellus
Tympanuchus cupido
Tympanuchus pallidicinctus
Meleagris gallopavo
Meleagris ocellata
Gavia stellata
Gavia arctica
Gavia pacifica
Gavia immer
Gavia adamsii
Tachybaptus dominicus
Podilymbus podiceps
Podilymbus gigas
Podiceps auritus
Podiceps grisegena
Podiceps nigricollis
Aechmophorus occidentalis
Aechmophorus clarkii
Phoenicopterus ruber
Thalassarche chlororhynchos
Thalassarche cauta
Thalassarche melanophris
Phoebetria palpebrata
Diomedea exulans
Phoebastria immutabilis
Phoebastria nigripes
Phoebastria albatrus
Fulmarus glacialis
Pterodroma macroptera
Pterodroma neglecta
Pterodroma arminjoniana
Pterodroma ultima
Pterodroma inexpectata
Pterodroma cahow
Pterodroma hasitata
Pterodroma externa
Pterodroma phaeopygia
Pterodroma sandwichensis
